x,y,p,c
15.7,0,8,4
16.8,1,8,4
15.9,0,8,4
16.75,1,8,4
16,0,8,4
16.05,0,8,4
16.7,0,8,4
16.95,0,8,4
17.35,1,8,4
17.2,1,8,4
16.1,0,8,4
16.25,0,8,4
16.35,0,8,4
17.1,0,8,4
17.3,1,8,4
17.3,1,8,4
16.2,0,8,4
17.15,1,8,4
16.3,0,8,4
7.7,1,9,1
4.7,1,9,1
3,1,9,1
6.5,1,9,1
1.7,1,9,1
2.43090909090909,1,9,1
1,1,9,1
1.3,1,9,1
0.600000000000001,1,9,1
0.699999999999999,1,9,1
0.699999999999999,1,9,1
0.399999999999999,0,9,1
0.899999999999999,1,9,1
0.199999999999999,0,9,1
0.100000000000001,0,9,1
0.699999999999999,1,9,1
0.100000000000001,0,9,1
0.699999999999999,1,9,1
0.100000000000001,1,9,1
0.100000000000001,0,9,1
0.100000000000001,0,9,1
0.100000000000001,0,9,1
0.100000000000001,0,9,1
0.699999999999999,1,9,1
0.100000000000001,0,9,1
0.699999999999999,1,9,1
0.100000000000001,0,9,1
0.699999999999999,1,9,1
0.100000000000001,0,9,1
0.699999999999999,1,9,1
5.9,1,9,2
3.6,0,9,2
7.6,1,9,2
2.9,0,9,2
4.9,1,9,2
6.6,1,9,2
4.2,1,9,2
2.8,1,9,2
10.7759615384615,1,9,2
8.69,1,9,2
2,0,9,2
2.2,1,9,2
8.85652173913043,1,9,2
0.699999999999999,1,9,2
10.8625,1,9,2
8.65102040816327,1,9,2
6.8,1,9,2
0.899999999999999,0,9,2
0.25,0,9,2
1.1,0,9,2
1.3,0,9,2
2.9,0,9,2
2.3,0,9,2
3.3,0,9,2
3.2,0,9,2
3.3,0,9,2
3.3,0,9,2
4.4,1,9,2
3.4,1,9,2
2.9,0,9,2
15.2,0,9,3
21.3,0,9,3
25,0,9,3
26.9117647058823,0,9,3
28.1,0,9,3
28.7,0,9,3
29.3,0,9,3
27.7,1,9,3
12.6076923076923,0,9,3
17.1,0,9,3
21.7,0,9,3
26,0,9,3
29,1,9,3
24.1,1,9,3
8.6,0,9,3
13.0566037735849,0,9,3
17.9,0,9,3
22.1,0,9,3
24.8,0,9,3
26,0,9,3
26.6,0,9,3
24.4,0,9,3
25.2,1,9,3
21.4,0,9,3
22.6,0,9,3
23.5,0,9,3
24.2,0,9,3
24.1,0,9,3
24.6,0,9,3
25,0,9,3
25.4,0,9,3
25.8017857142857,1,9,3
24.1598039215686,0,9,3
24.5,0,9,3
24.6,0,9,3
24.9,0,9,3
25.1,0,9,3
12.5,0,9,4
15.5,0,9,4
17.2,1,9,4
10.786,0,9,4
14.5,0,9,4
16.6,0,9,4
17.9,1,9,4
15.9,0,9,4
17.6,0,9,4
12.9,0,9,4
18.5,1,9,4
18.4,1,9,4
17.2,0,9,4
18.4,1,9,4
17.2,0,9,4
17.7,0,9,4
18.5,1,9,4
17.5,0,9,4
17.5,0,9,4
18.2,0,9,4
18.7,1,9,4
18.6,0,9,4
19.1,1,9,4
19,1,9,4
18.8,1,9,4
17.6,0,9,4
17.7,0,9,4
17.9,0,9,4
18.5,1,9,4
17.9,0,9,4
18.55,0,9,4
18.8,0,9,4
19.2,1,9,4
19.1,1,9,4
19,0,9,4
19.4682692307692,0,9,4
20.1,1,9,4
19.8,1,9,4
19.7,1,9,4
19.5,1,9,4
7.7,1,10,1
4.7,1,10,1
2.991,1,10,1
6.5,1,10,1
1.72358490566038,1,10,1
2.4,1,10,1
1,1,10,1
1.33265306122449,1,10,1
0.600000000000001,1,10,1
0.699999999999999,1,10,1
0.699999999999999,1,10,1
0.399999999999999,1,10,1
0.399999999999999,1,10,1
0.399999999999999,1,10,1
0.399999999999999,1,10,1
0.399999999999999,1,10,1
0.399999999999999,1,10,1
0.399999999999999,1,10,1
0.399999999999999,1,10,1
0.399999999999999,1,10,1
0.399999999999999,1,10,1
0.399999999999999,1,10,1
0.399999999999999,1,10,1
0.399999999999999,1,10,1
0.399999999999999,1,10,1
0.399999999999999,1,10,1
0.399999999999999,1,10,1
0.399999999999999,1,10,1
0.399999999999999,1,10,1
0.399999999999999,1,10,1
5.9,0,10,2
8.4,1,10,2
4.3,0,10,2
7.23921568627451,1,10,2
3.4,0,10,2
7.94038461538462,1,10,2
6.3,1,10,2
5.2,1,10,2
11,1,10,2
3,0,10,2
5.3,1,10,2
5.3,1,10,2
4.6,1,10,2
